name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,source,ingestion_date
"Supples Baby Pants Diapers, Medium (7-12 kg), 72 Count",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ltYn2nmXL._AC_UL320_.jpg,https://www.amazon.in/Supples-Pants-Diapers-Medium-Count/dp/B07Q2F37JN/ref=sr_1_97?qid=1679219574&s=baby&sr=1-97,4.0,"127,863",₹639,₹949,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Pampers Active Baby Taped Diapers, Medium size diapers, (6-11kg) 90 count,taped style custom fit",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41TrYNSS2JL._AC_UL320_.jpg,https://www.amazon.in/Pampers-Active-Medium-Diapers-Count/dp/B077HRCSXR/ref=sr_1_98?qid=1679219574&s=baby&sr=1-98,4.5,"65,629","₹1,529","₹1,699",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Mamaearth Hydragel Indian Sunscreen Spf 50, With Aloe Vera & Raspberry, For Sun Protection - 50G",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51oSikddmsL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-HydraGel-Sunscreen-Raspberry-Protection/dp/B08B34WQQC/ref=sr_1_99?qid=1679219574&s=baby&sr=1-99,4.0,"4,897",₹346,₹399,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mamaearth Gentle Cleansing Shampoo for Babies (200 ml),toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61TLaUsT3vL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Gentle-Cleansing-Shampoo-babies/dp/B01NBEF38B/ref=sr_1_100?qid=1679219574&s=baby&sr=1-100,4.3,"19,845",₹152,₹199,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Himalaya Extra Moisturizing Baby Wash, 400 ml",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71IIyL7H3xL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Extra-Moisturizing-Baby-Wash/dp/B07XM5SHHH/ref=sr_1_101?qid=1679219574&s=baby&sr=1-101,4.3,"6,456",₹198,₹275,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"MamyPoko Pants Extra Absorb NB76,Unisex Baby, Pack of 76 (Upto 5 Kg)",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61dzdO-xcCL._AC_UL320_.jpg,https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Unisex/dp/B0BGLL9P14/ref=sr_1_102?qid=1679219574&s=baby&sr=1-102,4.3,"155,343",₹649,₹999,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"LuvLap Tiny Love Heat Sensitive Baby Feeding Spoons Set, Food Grade PP Kids & Baby Spoon with Soft Silicone Tip, Color cha...",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/617HLnmugrL._AC_UL320_.jpg,https://www.amazon.in/LuvLap-Sensitive-Feeding-Silicone-Changing/dp/B08HSNMHRZ/ref=sr_1_103?qid=1679219574&s=baby&sr=1-103,4.4,"5,814",₹131,₹159,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Supples Baby Wet Wipes with Aloe Vera and Vitamin E, 72 Wipes/Pack, (Pack of 6)",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71cRoJhvaZL._AC_UL320_.jpg,https://www.amazon.in/Supples-Baby-Wipes-Aloe-Vitamin/dp/B07QN6MGF7/ref=sr_1_104?qid=1679219574&s=baby&sr=1-104,4.4,"59,138",₹370,₹744,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Philips Avent NATURAL 2.0 BOTTLE 260ml Single SCF033/10,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51fW74yIkUS._AC_UL320_.jpg,https://www.amazon.in/Philips-Avent-Natural-SCF033-10/dp/B081FHW9G6/ref=sr_1_105?qid=1679219574&s=baby&sr=1-105,4.5,"6,507",₹499,₹515,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mamaearth Tea Tree Natural Face Wash for Acne & Pimples Wash 100 ml - For Normal & Dry Skin,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71T3R2bPSLL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Face-Wash-100-ml/dp/B07FPSB76P/ref=sr_1_106?qid=1679219574&s=baby&sr=1-106,4.0,"16,718",₹240,₹259,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
